Frame,Total,Compliant,No Vest,Compliance %
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,4,0,4,0.0
5,6,0,6,0.0
6,6,0,6,0.0
7,6,0,6,0.0
8,6,6,0,100.0
9,6,0,6,0.0
10,7,0,7,0.0
11,7,0,7,0.0
12,8,0,8,0.0
13,7,0,7,0.0
14,8,0,8,0.0
15,9,0,9,0.0
16,9,0,9,0.0
17,9,0,9,0.0
18,8,0,8,0.0
19,8,0,8,0.0
20,8,0,8,0.0
21,8,0,8,0.0
22,8,0,8,0.0
23,7,0,7,0.0
24,8,0,8,0.0
25,8,0,8,0.0
26,9,0,9,0.0
27,9,0,9,0.0
28,9,0,9,0.0
29,6,0,6,0.0
30,7,7,0,100.0
31,7,0,7,0.0
32,7,0,7,0.0
33,9,0,9,0.0
34,8,0,8,0.0
35,8,0,8,0.0
36,8,8,0,100.0
37,8,0,8,0.0
38,8,0,8,0.0
39,7,0,7,0.0
40,7,0,7,0.0
41,10,0,10,0.0
42,10,0,10,0.0
43,9,0,9,0.0
44,9,9,0,100.0
45,8,0,8,0.0
46,8,0,8,0.0
47,9,0,9,0.0
48,8,0,8,0.0
49,8,0,8,0.0
50,8,0,8,0.0
51,7,0,7,0.0
52,8,0,8,0.0
53,7,0,7,0.0
54,8,0,8,0.0
55,10,0,10,0.0
56,11,0,11,0.0
57,12,0,12,0.0
58,11,0,11,0.0
59,12,0,12,0.0
60,12,12,0,100.0
61,11,0,11,0.0
62,9,0,9,0.0
63,10,0,10,0.0
64,10,0,10,0.0
65,11,0,11,0.0
66,11,0,11,0.0
67,10,0,10,0.0
68,11,0,11,0.0
69,9,0,9,0.0
70,8,0,8,0.0
71,9,9,0,100.0
72,7,0,7,0.0
73,11,0,11,0.0
74,11,0,11,0.0
75,10,0,10,0.0
76,9,0,9,0.0
77,8,0,8,0.0
78,9,0,9,0.0
79,9,0,9,0.0
80,11,0,11,0.0
81,12,0,12,0.0
82,12,0,12,0.0
83,11,0,11,0.0
84,10,0,10,0.0
85,11,0,11,0.0
86,10,0,10,0.0
87,10,0,10,0.0
88,10,0,10,0.0
89,10,0,10,0.0
90,11,0,11,0.0
91,10,0,10,0.0
92,9,0,9,0.0
93,9,0,9,0.0
94,9,0,9,0.0
95,9,0,9,0.0
96,9,0,9,0.0
97,10,0,10,0.0
98,12,12,0,100.0
99,11,0,11,0.0
100,11,0,11,0.0
101,9,0,9,0.0
102,9,0,9,0.0
103,8,0,8,0.0
104,9,0,9,0.0
105,9,0,9,0.0
106,8,0,8,0.0
107,8,0,8,0.0
108,8,0,8,0.0
109,8,0,8,0.0
110,8,0,8,0.0
111,9,0,9,0.0
112,9,0,9,0.0
113,8,0,8,0.0
114,8,0,8,0.0
115,8,8,0,100.0
116,8,8,0,100.0
117,9,0,9,0.0
118,9,0,9,0.0
119,8,0,8,0.0
120,7,0,7,0.0
121,9,0,9,0.0
122,9,0,9,0.0
123,7,0,7,0.0
124,8,0,8,0.0
125,8,0,8,0.0
126,8,0,8,0.0
127,7,0,7,0.0
128,6,0,6,0.0
129,7,0,7,0.0
130,8,8,0,100.0
131,8,0,8,0.0
132,7,0,7,0.0
133,7,0,7,0.0
134,7,0,7,0.0
135,8,0,8,0.0
136,9,0,9,0.0
137,9,0,9,0.0
138,10,0,10,0.0
139,9,0,9,0.0
140,9,9,0,100.0
141,9,0,9,0.0
142,9,0,9,0.0
143,8,0,8,0.0
144,9,0,9,0.0
145,9,0,9,0.0
146,8,0,8,0.0
147,8,0,8,0.0
148,8,0,8,0.0
149,9,9,0,100.0
150,9,0,9,0.0
151,10,0,10,0.0
152,11,0,11,0.0
153,8,0,8,0.0
154,8,0,8,0.0
155,7,0,7,0.0
156,7,0,7,0.0
157,7,0,7,0.0
158,7,0,7,0.0
159,7,0,7,0.0
160,8,0,8,0.0
161,8,0,8,0.0
162,8,0,8,0.0
163,8,0,8,0.0
164,8,8,0,100.0
165,8,8,0,100.0
166,8,0,8,0.0
167,8,0,8,0.0
168,9,0,9,0.0
169,9,0,9,0.0
170,8,8,0,100.0
171,8,0,8,0.0
172,8,0,8,0.0
173,9,0,9,0.0
174,9,0,9,0.0
175,9,0,9,0.0
176,10,0,10,0.0
177,10,0,10,0.0
178,9,0,9,0.0
179,10,0,10,0.0
180,10,0,10,0.0
181,9,0,9,0.0
182,9,0,9,0.0
183,10,0,10,0.0
184,10,0,10,0.0
185,10,0,10,0.0
186,10,0,10,0.0
187,10,0,10,0.0
188,10,0,10,0.0
189,9,0,9,0.0
190,9,0,9,0.0
191,9,0,9,0.0
192,12,0,12,0.0
193,12,0,12,0.0
194,12,0,12,0.0
195,11,0,11,0.0
196,11,0,11,0.0
197,12,0,12,0.0
198,12,0,12,0.0
199,12,0,12,0.0
200,12,0,12,0.0
201,11,0,11,0.0
202,10,0,10,0.0
203,10,0,10,0.0
204,10,0,10,0.0
205,10,0,10,0.0
206,10,0,10,0.0
207,10,10,0,100.0
208,9,0,9,0.0
209,9,0,9,0.0
210,10,0,10,0.0
211,9,0,9,0.0
212,9,0,9,0.0
213,9,9,0,100.0
214,9,0,9,0.0
215,9,0,9,0.0
216,9,0,9,0.0
217,9,0,9,0.0
218,9,0,9,0.0
219,9,0,9,0.0
220,10,0,10,0.0
221,10,0,10,0.0
222,9,0,9,0.0
223,10,10,0,100.0
224,10,0,10,0.0
225,9,0,9,0.0
226,10,0,10,0.0
227,11,0,11,0.0
228,12,0,12,0.0
229,12,0,12,0.0
230,10,0,10,0.0
231,10,0,10,0.0
232,8,0,8,0.0
233,8,0,8,0.0
234,8,0,8,0.0
235,9,0,9,0.0
236,9,0,9,0.0
237,8,8,0,100.0
238,8,0,8,0.0
239,8,0,8,0.0
240,7,0,7,0.0
241,7,0,7,0.0
242,7,0,7,0.0
243,8,0,8,0.0
244,9,0,9,0.0
245,9,0,9,0.0
246,9,0,9,0.0
247,8,0,8,0.0
248,8,0,8,0.0
249,8,0,8,0.0
250,8,0,8,0.0
251,7,0,7,0.0
252,7,0,7,0.0
253,8,0,8,0.0
254,8,0,8,0.0
255,8,0,8,0.0
256,9,0,9,0.0
257,9,0,9,0.0
258,8,0,8,0.0
259,8,0,8,0.0
260,8,0,8,0.0
261,8,0,8,0.0
262,8,0,8,0.0
263,8,8,0,100.0
264,8,0,8,0.0
265,9,0,9,0.0
266,9,0,9,0.0
267,8,8,0,100.0
268,8,0,8,0.0
269,8,0,8,0.0
270,8,0,8,0.0
271,9,0,9,0.0
272,9,0,9,0.0
273,8,0,8,0.0
274,8,0,8,0.0
275,8,0,8,0.0
276,9,0,9,0.0
277,9,0,9,0.0
278,8,0,8,0.0
279,8,0,8,0.0
280,8,0,8,0.0
281,7,0,7,0.0
282,9,0,9,0.0
283,8,0,8,0.0
284,7,0,7,0.0
285,7,0,7,0.0
286,7,0,7,0.0
287,7,0,7,0.0
288,6,0,6,0.0
289,6,0,6,0.0
290,7,0,7,0.0
291,8,0,8,0.0
292,8,0,8,0.0
293,8,0,8,0.0
294,6,0,6,0.0
295,6,0,6,0.0
296,7,0,7,0.0
297,8,0,8,0.0
298,8,0,8,0.0
299,8,0,8,0.0
300,7,0,7,0.0
301,8,0,8,0.0
302,8,0,8,0.0
303,7,0,7,0.0
304,7,0,7,0.0
305,7,0,7,0.0
306,7,0,7,0.0
307,7,0,7,0.0
308,7,0,7,0.0
309,6,0,6,0.0
310,7,0,7,0.0
311,7,0,7,0.0
312,7,0,7,0.0
313,7,0,7,0.0
314,7,0,7,0.0
315,7,0,7,0.0
316,7,0,7,0.0
317,7,0,7,0.0
318,7,0,7,0.0
319,7,0,7,0.0
320,9,0,9,0.0
321,9,0,9,0.0
322,9,0,9,0.0
323,7,0,7,0.0
324,7,0,7,0.0
325,8,0,8,0.0
326,8,0,8,0.0
327,8,0,8,0.0
328,8,0,8,0.0
329,9,0,9,0.0
330,9,0,9,0.0
331,9,0,9,0.0
332,7,0,7,0.0
333,8,0,8,0.0
334,8,0,8,0.0
335,7,0,7,0.0
336,8,0,8,0.0
337,9,0,9,0.0
338,8,0,8,0.0
339,8,0,8,0.0
340,8,0,8,0.0
341,8,0,8,0.0
342,8,0,8,0.0
343,8,0,8,0.0
344,8,0,8,0.0
345,8,0,8,0.0
346,8,0,8,0.0
347,8,0,8,0.0
348,8,0,8,0.0
349,8,0,8,0.0
350,8,0,8,0.0
351,8,0,8,0.0
352,8,0,8,0.0
353,8,0,8,0.0
354,8,0,8,0.0
